"TIME","CH1","CH2","CH3","CH4","MATH"
-1.000e-03,0.169,-0.01,-0.214,-0.084,1
-9.998e-04,0.171,-0.02,-0.218,-0.072,1
-9.996e-04,0.17,-0.002,-0.222,-0.064,1
-9.994e-04,0.17,-0.014,-0.224,-0.076,1
-9.992e-04,0.17,-0.016,-0.216,-0.088,1
-9.990e-04,0.171,-0.012,-0.218,-0.076,1
-9.988e-04,0.167,-0.014,-0.222,-0.084,1
-9.986e-04,0.169,-0.014,-0.21,-0.068,1
-9.984e-04,0.171,-0.008,-0.218,-0.072,1
-9.982e-04,0.172,-0.006,-0.22,-0.084,1
-9.980e-04,0.168,-0.014,-0.22,-0.076,1
-9.978e-04,0.169,-0.01,-0.22,-0.08,1
-9.976e-04,0.171,-0.01,-0.218,-0.08,1
-9.974e-04,0.168,-0.01,-0.22,-0.092,1
-9.972e-04,0.17,-0.008,-0.216,-0.08,1
-9.970e-04,0.168,-0.014,-0.22,-0.076,1
-9.968e-04,0.169,-0.01,-0.212,-0.072,1
-9.966e-04,0.17,-0.016,-0.222,-0.08,1
-9.964e-04,0.168,-0.014,-0.222,-0.084,1
-9.962e-04,0.167,-0.014,-0.22,-0.092,1
-9.960e-04,0.167,-0.01,-0.22,-0.084,1
-9.958e-04,0.169,-0.012,-0.216,-0.084,1
-9.956e-04,0.17,-0.016,-0.218,-0.076,1
-9.954e-04,0.172,-0.016,-0.222,-0.084,1
-9.952e-04,0.17,-0.01,-0.22,-0.084,1
-9.950e-04,0.169,-0.018,-0.222,-0.084,1
-9.948e-04,0.169,-0.018,-0.218,-0.08,1
-9.946e-04,0.165,-0.008,-0.218,-0.084,1
-9.944e-04,0.17,-0.014,-0.218,-0.092,1
-9.942e-04,0.17,-0.014,-0.214,-0.088,1
-9.940e-04,0.17,-0.002,-0.216,-0.088,1
-9.938e-04,0.172,-0.018,-0.21,-0.08,1
-9.936e-04,0.171,-0.012,-0.216,-0.08,1
-9.934e-04,0.171,-0.016,-0.22,-0.08,1
-9.932e-04,0.171,-0.012,-0.222,-0.08,1
-9.930e-04,0.172,-0.018,-0.218,-0.076,1
-9.928e-04,0.172,-0.012,-0.22,-0.076,1
-9.926e-04,0.171,-0.01,-0.214,-0.076,1
-9.924e-04,0.172,-0.014,-0.22,-0.072,1
-9.922e-04,0.168,-0.012,-0.212,-0.072,1
-9.920e-04,0.171,-0.022,-0.212,-0.072,1
-9.918e-04,0.171,-0.012,-0.214,-0.088,1
-9.916e-04,0.171,-0.006,-0.216,-0.084,1
-9.914e-04,0.171,-0.012,-0.222,-0.076,1
-9.912e-04,0.169,-0.016,-0.212,-0.076,1
-9.910e-04,0.17,-0.01,-0.218,-0.072,1
-9.908e-04,0.169,-0.018,-0.218,-0.084,1
-9.906e-04,0.17,-0.018,-0.212,-0.064,1
-9.904e-04,0.171,-0.016,-0.22,-0.084,1
-9.902e-04,0.169,-0.018,-0.214,-0.08,1
-9.900e-04,0.168,-0.016,-0.218,-0.084,1
-9.898e-04,0.163,-0.014,-0.218,-0.08,1
-9.896e-04,0.169,-0.006,-0.218,-0.076,1
-9.894e-04,0.17,-0.018,-0.222,-0.08,1
-9.892e-04,0.168,-0.012,-0.222,-0.076,1
-9.890e-04,0.172,-0.016,-0.214,-0.076,1
-9.888e-04,0.171,-0.006,-0.216,-0.084,1
-9.886e-04,0.169,-0.012,-0.212,-0.084,1
-9.884e-04,0.17,-0.024,-0.214,-0.084,1
-9.882e-04,0.169,-0.014,-0.212,-0.076,1
-9.880e-04,0.172,-0.014,-0.222,-0.08,1
-9.878e-04,0.168,-0.018,-0.22,-0.076,1
-9.876e-04,0.168,-0.018,-0.216,-0.084,1
-9.874e-04,0.169,-0.016,-0.218,-0.084,1
-9.872e-04,0.172,-0.006,-0.222,-0.08,1
-9.870e-04,0.171,-0.014,-0.224,-0.084,1
-9.868e-04,0.172,-0.008,-0.218,-0.08,1
-9.866e-04,0.17,-0.008,-0.216,-0.076,1
-9.864e-04,0.17,-0.012,-0.218,-0.08,1
-9.862e-04,0.172,-0.008,-0.22,-0.08,1
-9.860e-04,0.172,-0.016,-0.212,-0.084,1
-9.858e-04,0.169,-0.008,-0.212,-0.072,1
-9.856e-04,0.17,-0.004,-0.216,-0.092,1
-9.854e-04,0.168,-0.01,-0.218,-0.072,1
-9.852e-04,0.17,-0.004,-0.218,-0.068,1
-9.850e-04,0.166,-0.014,-0.216,-0.084,1
-9.848e-04,0.171,-0.008,-0.222,-0.08,1
-9.846e-04,0.171,-0.006,-0.22,-0.08,1
-9.844e-04,0.169,-0.014,-0.214,-0.08,1
-9.842e-04,0.17,-0.018,-0.226,-0.072,1
-9.840e-04,0.17,-0.012,-0.216,-0.08,1
-9.838e-04,0.168,-0.014,-0.21,-0.088,1
-9.836e-04,0.167,-0.01,-0.218,-0.084,1
-9.834e-04,0.171,-0.018,-0.218,-0.076,1
-9.832e-04,0.171,-0.014,-0.212,-0.068,1
-9.830e-04,0.171,-0.01,-0.222,-0.072,1
-9.828e-04,0.17,-0.01,-0.22,-0.068,1
-9.826e-04,0.172,-0.014,-0.218,-0.072,1
-9.824e-04,0.169,-0.012,-0.22,-0.088,1
-9.822e-04,0.173,-0.016,-0.216,-0.076,1
-9.820e-04,0.17,-0.01,-0.218,-0.08,1
-9.818e-04,0.171,-0.012,-0.216,-0.084,1
-9.816e-04,0.172,-0.012,-0.22,-0.084,1
-9.814e-04,0.17,-0.01,-0.216,-0.076,1
-9.812e-04,0.169,-0.004,-0.22,-0.08,1
-9.810e-04,0.169,-0.016,-0.226,-0.084,1
-9.808e-04,0.166,-0.012,-0.22,-0.084,1
