"TIME","CH1","CH2","CH3","CH4","MATH"
-2.0000e-04,0.226,-0.002,0.228,-0.048,1
-1.9996e-04,0.224,0.004,0.228,-0.052,1
-1.9992e-04,0.227,-0.006,0.232,-0.052,1
-1.9988e-04,0.222,0.002,0.226,-0.06,1
-1.9984e-04,0.226,-0.002,0.224,-0.048,1
-1.9980e-04,0.223,0.01,0.228,-0.044,1
-1.9976e-04,0.222,0.004,0.226,-0.036,1
-1.9972e-04,0.226,-0.004,0.232,-0.052,1
-1.9968e-04,0.225,0.002,0.226,-0.052,1
-1.9964e-04,0.222,0.002,0.23,-0.044,1
-1.9960e-04,0.224,0.004,0.236,-0.052,1
-1.9956e-04,0.226,0.002,0.226,-0.052,1
-1.9952e-04,0.224,0.006,0.226,-0.048,1
-1.9948e-04,0.226,0.004,0.232,-0.056,1
-1.9944e-04,0.227,-0.002,0.23,-0.056,1
-1.9940e-04,0.225,0.004,0.224,-0.048,1
-1.9936e-04,0.225,0,0.23,-0.04,1
-1.9932e-04,0.225,-0.002,0.236,-0.06,1
-1.9928e-04,0.223,0.002,0.236,-0.048,1
-1.9924e-04,0.224,0.006,0.224,-0.052,1
-1.9920e-04,0.224,-0.004,0.226,-0.052,1
-1.9916e-04,0.223,0.002,0.23,-0.052,1
-1.9912e-04,0.224,0,0.236,-0.06,1
-1.9908e-04,0.222,-0.002,0.23,-0.06,1
-1.9904e-04,0.223,0.004,0.234,-0.052,1
-1.9900e-04,0.222,0.002,0.232,-0.048,1
-1.9896e-04,0.222,0,0.234,-0.048,1
-1.9892e-04,0.226,0,0.226,-0.064,1
-1.9888e-04,0.224,-0.002,0.236,-0.06,1
-1.9884e-04,0.221,0.004,0.23,-0.048,1
-1.9880e-04,0.222,0,0.228,-0.04,1
-1.9876e-04,0.222,-0.002,0.228,-0.04,1
-1.9872e-04,0.221,0.004,0.232,-0.052,1
-1.9868e-04,0.222,0.008,0.226,-0.06,1
-1.9864e-04,0.222,0,0.234,-0.048,1
-1.9860e-04,0.225,-0.004,0.23,-0.056,1
-1.9856e-04,0.223,0.004,0.232,-0.052,1
-1.9852e-04,0.225,0,0.232,-0.056,1
-1.9848e-04,0.223,0.01,0.226,-0.052,1
-1.9844e-04,0.222,0.012,0.234,-0.052,1
-1.9840e-04,0.221,0.006,0.226,-0.064,1
-1.9836e-04,0.222,0.004,0.228,-0.048,1
-1.9832e-04,0.223,0,0.232,-0.048,1
-1.9828e-04,0.222,0.006,0.228,-0.06,1
-1.9824e-04,0.223,0.002,0.232,-0.048,1
-1.9820e-04,0.222,0,0.232,-0.052,1
-1.9816e-04,0.224,0.004,0.228,-0.048,1
-1.9812e-04,0.223,-0.002,0.236,-0.056,1
-1.9808e-04,0.223,0.002,0.222,-0.048,1
-1.9804e-04,0.224,0,0.224,-0.028,1
-1.9800e-04,0.222,0.004,0.228,-0.056,1
-1.9796e-04,0.223,0.002,0.228,-0.056,1
-1.9792e-04,0.223,0.002,0.23,-0.052,1
-1.9788e-04,0.223,0.002,0.222,-0.044,1
-1.9784e-04,0.224,-0.002,0.23,-0.06,1
-1.9780e-04,0.224,0.002,0.228,-0.052,1
-1.9776e-04,0.223,0.002,0.232,-0.052,1
